36
3.1622776601683795	3.2482503960381934	3.3365604697724325	3.427271426496622	3.520448538935466	3.616158854381028	3.7144712429378357	3.8154564470796215	3.9191871325533594	4.025737940667229	4.135185542000138	4.247608691571425	4.3630882855104804	4.481707419267033	4.603551447403991	4.728708045015878	4.857267270817058	4.98932163194511	5.124966150526038	5.264298432049176	5.407418735600995	5.554430046008365	5.705438147943161	5.860551702041555	6.019882323092768	6.183544660353518	6.3516564800459925	6.524338750098682	6.7017157271910595	6.883915046164741	7.071067811865475
0.019940405771140632+0.9628148564331557*I	0.006954717353526811+0.9707984242305755*I	-0.00179822082500848+0.9729870666333291*I	-0.007560876012030736+0.9699624310710534*I	-0.012381520571958002+0.9555542141769994*I	-0.013536650235262696+0.9278037016379241*I	0.028449366744009243+0.956366634343392*I	0.012832434567895864+0.9675845358971484*I	-0.011188548591742339+0.8855812124713657*I	0.002133318706871666+0.9725690257227423*I	-0.00498818571230768+0.9721110886769924*I	-0.011204924466255711+0.9617428141296969*I	-0.01354627592978846+0.9386453459155634*I	0.03850958380247706+0.9481289275099447*I	0.09600828325300143+0.8960747205927467*I	0.06372403252704731+0.925961519795823*I	0.13499138599485452+0.8589714832773648*I	-0.009611092700132478+0.9665226121658457*I	-0.012342898713314857+0.9012424363955012*I	0.11471544448093654+0.8783652485590163*I	0.07898702070959923+0.911969309007927*I	0.1566823871222204+0.8380590506670746*I	0.05024152811445497+0.9380118826251139*I	-0.013160281991256953+0.947878055805897*I	0.17960782693361685+0.8158193156980995*I	0.2283640261687599+0.7681941308364146*I	0.2796333562362999+0.7177909031886132*I	-0.013132654607468246+0.9153321820162593*I	0.20357012745939312+0.7924596171000385*I	0.253784535220357+0.7432359858730041*I	0.3057236220629391+0.6920524794433953*I
{22.36067977499789, 1.550088757333373}	{20.085701391913165, 1.563632534386826}	{18.04217959671311, 1.57264446932353}	{16.20656596692762, 1.5785911883654165}	{13.79729661461215, 1.5837530251454468}	{11.746189430880191, 1.5853852854591473}	{23.59304534015059, 1.541057753199425}	{21.19268592889538, 1.5575347648257858}	{10.000000000000002, 1.5834297851171206}	{19.036539387158783, 1.56860284208682}	{17.099759466766976, 1.5759275736155507}	{14.557707899561448, 1.5824464450662714}	{12.393557915292858, 1.5852270547123475}	{24.893330346995416, 1.5302022395300865}	{30.85169313600049, 1.4640603480038281}	{27.712837981675413, 1.5020853544674502}	{34.346066252302165, 1.4149165904179561}	{15.360027779971823, 1.5807399906128234}	{10.55113063536228, 1.584490896207564}	{32.552024460005086, 1.4409302839488882}	{29.240177382128664, 1.4844004406615696}	{36.23898318388478, 1.3859713944216943}	{26.265278044037682, 1.5172857409356597}	{13.07660486011831, 1.5846793747247845}	{38.23622456658651, 1.3540968664916107}	{42.566996126039236, 1.2818424609085148}	{47.38828636281331, 1.1993092397804603}	{11.132635768448035, 1.585142761744518}	{40.34354004051025, 1.3193492541096985}	{44.91299368807999, 1.2417506835494954}	{49.99999999999999, 1.154812833252914}
{22.36067977499789, 0.9630213224797859}	{20.085701391913165, 0.970823335412801}	{18.04217959671311, 0.9729887283179934}	{16.20656596692762, 0.9699918992111931}	{13.79729661461215, 0.9556344271127409}	{11.746189430880191, 0.9279024462046783}	{23.59304534015059, 0.9567896873155785}	{21.19268592889538, 0.967669626207333}	{10.000000000000002, 0.8856518884425437}	{19.036539387158783, 0.9725713654246608}	{17.099759466766976, 0.9721238865111113}	{14.557707899561448, 0.9618080842155586}	{12.393557915292858, 0.9387430889229031}	{24.893330346995416, 0.9489106655664684}	{30.85169313600049, 0.901203359591251}	{27.712837981675413, 0.9281516516518723}	{34.346066252302165, 0.869514050131755}	{15.360027779971823, 0.9665703972969482}	{10.55113063536228, 0.9013269530579601}	{32.552024460005086, 0.8858245554728099}	{29.240177382128664, 0.9153835097995673}	{36.23898318388478, 0.8525798161106769}	{26.265278044037682, 0.9393564302719102}	{13.07660486011831, 0.9479694096860176}	{38.23622456658651, 0.835356287677259}	{42.566996126039236, 0.8014189610306962}	{47.38828636281331, 0.7703366761490086}	{11.132635768448035, 0.9154263870195601}	{40.34354004051025, 0.8181888788832157}	{44.91299368807999, 0.785370180878819}	{49.99999999999999, 0.7565735703756997}
