4
1.	1.0673728867897654	1.1392848794539172	1.2160417906586574	1.2979700365523266	1.385418024881474	1.4787576366283137	1.5783858074703743	1.684726215787648	1.7982310843956588	1.9193831036664843	2.048697484215995	2.1867241478865562	2.334050066342563	2.491301757223905	2.6591479484724947	2.8383024221621684	3.029527049925617	3.233635032886787	3.4514943598768877	3.6840314986403864	3.9322353357282154	4.197161381832947	4.479936260449553	4.781762498950186	5.103923642447501	5.447789712193724	5.814823031727799	6.206584445546917	6.6247399567478675	7.071067811865476
0.15076316014983784+0.24116670632471132*I	0.16898088481513548+0.34251213353359067*I	0.20161328044631807+0.4577165113540619*I	0.24319456582437302+0.5227034682476821*I	0.3958481977032599+0.536540147412223*I	0.30793703760616753+0.5545428669649847*I	0.13691592984923087+0.16506171806771422*I	0.17715222381490695+0.38062267839327796*I	0.15645626818796315+0.2724089474391902*I	0.21980165660519158+0.49296781057309375*I	0.44617189412820774+0.5087202023839991*I	0.3493307406999369+0.5521931253361276*I	0.2724774584721629+0.5440999664347896*I	0.6024587729262898+0.3830210766998933*I	0.14024532257898198+0.1872188671173318*I	0.498618143004566+0.47140873255241555*I	0.7184988470739072+0.30487075062434005*I	0.18771982225905812+0.4195541050559912*I	0.16234331847610106+0.30626144318502285*I	0.8366381262246971+0.17915812512670456*I	0.8753469230958563+0.1374167642797371*I	0.5513235873417885+0.4282504278721499*I	0.7548080083378962+0.2669039578463746*I	0.8573775572613861+0.15686240289337436*I	0.8909511402205739+0.12043580071505099*I	0.9045304701736734+0.10559038413656821*I	0.9163693804670501+0.09259996253171338*I	0.14518589401378298+0.21268517978342125*I	0.7850898582255882+0.23412070239176663*I	0.8126580909151059+0.2047479220899333*I
{1.478757636628314, 1.0120957313776207}	{2.186724147886556, 1.1124769301963575}	{3.233635032886787, 1.1558904680888893}	{4.197161381832947, 1.1353224609863646}	{7.071067811865477, 0.935162473465043}	{5.447789712193723, 1.0638939762082233}	{1., 0.8783345393009825}	{2.4913017572239053, 1.1351872956310058}	{1.684726215787648, 1.0494556748539663}	{3.6840314986403864, 1.1513786632646845}	{8.055960639651632, 0.8508077322475157}	{6.206584445546916, 1.0067332090385104}	{4.781762498950186, 1.1065203907545833}	{11.912813316261966, 0.5663016838337248}	{1.1392848794539172, 0.9278725986086414}	{9.178034146231012, 0.7573553552253931}	{15.462474735549591, 0.401291379272737}	{2.8383024221621684, 1.150084193006319}	{1.9193831036664846, 1.0833746492184653}	{26.05003654793457, 0.21095451116314518}	{33.81216689031207, 0.15571462138825118}	{10.456395525912733, 0.6604135871152703}	{17.616163665149852, 0.33988286859362654}	{29.678412748283776, 0.18095472579420396}	{38.52169047970493, 0.13436222338161954}	{43.887179494531736, 0.11620906356737223}	{50.000000000000014, 0.1007090517716511}	{1.2979700365523266, 0.9718214981150923}	{20.069828897690726, 0.2898126801922368}	{22.865252596366325, 0.24681162790287525}
{1.478757636628314, 0.28441327447549847}	{2.186724147886556, 0.3819281359767022}	{3.233635032886787, 0.5001522964242578}	{4.197161381832947, 0.5765089006812132}	{7.071067811865477, 0.6667616706215566}	{5.447789712193723, 0.6343051398431254}	{1., 0.21445592231958782}	{2.4913017572239053, 0.4198291720567302}	{1.684726215787648, 0.314142003718432}	{3.6840314986403864, 0.5397499703637011}	{8.055960639651632, 0.6766576707786365}	{6.206584445546916, 0.6534135092469752}	{4.781762498950186, 0.6085135486164531}	{11.912813316261966, 0.7139059589835319}	{1.1392848794539172, 0.2339223262324053}	{9.178034146231012, 0.6861823705546483}	{15.462474735549591, 0.7805041754102168}	{2.8383024221621684, 0.4596350495102675}	{1.9193831036664846, 0.34662865524305075}	{26.05003654793457, 0.8556056264726689}	{33.81216689031207, 0.8860674934103472}	{10.456395525912733, 0.6981089649417905}	{17.616163665149852, 0.8006078017138484}	{29.678412748283776, 0.8716089083625664}	{38.52169047970493, 0.8990543456066581}	{43.887179494531736, 0.9106726638560722}	{50.000000000000014, 0.9210361526663543}	{1.2979700365523266, 0.25751491125775156}	{20.069828897690726, 0.8192548985371332}	{22.865252596366325, 0.8380542251727688}
