32
3.1622776601683795	3.2482503960381934	3.3365604697724325	3.427271426496622	3.520448538935466	3.616158854381028	3.7144712429378357	3.8154564470796215	3.9191871325533594	4.025737940667229	4.135185542000138	4.247608691571425	4.3630882855104804	4.481707419267033	4.603551447403991	4.728708045015878	4.857267270817058	4.98932163194511	5.124966150526038	5.264298432049176	5.407418735600995	5.554430046008365	5.705438147943161	5.860551702041555	6.019882323092768	6.183544660353518	6.3516564800459925	6.524338750098682	6.7017157271910595	6.883915046164741	7.071067811865475
0.03923893828961421+0.9431647914561964*I	0.005222355164225793+0.9644195922159476*I	0.019501338357101147+0.9574120270501227*I	-0.0047810369158297495+0.9647089791845432*I	-0.013900204449906818+0.9528886390353848*I	-0.01752199184319334+0.9257597679471441*I	-0.016284441008504714+0.8830563035882559*I	0.051482989878974136+0.9331531691994323*I	0.028616623261448676+0.9512306199351532*I	0.011753718402293816+0.9617834825754643*I	-0.00024302972183781074+0.9653817487948648*I	-0.011528166569015858+0.9584835750310923*I	-0.01687585062709089+0.9365532829606541*I	0.13810012269563388+0.8541771081760925*I	0.0654262641958273+0.9211634276060496*I	0.09849107677242606+0.8913121212498855*I	0.1832162930303749+0.8109644485672651*I	-0.01720346537906865+0.8989588917000351*I	-0.00851152967009517+0.9624135299636148*I	-0.015674453160306683+0.9455886254309671*I	0.1600558693748101+0.8332357442720897*I	0.1175282179889935+0.8735925764469105*I	0.08110131105438581+0.9072003334182357*I	0.20738407769888953+0.7875750573857236*I	0.2323536516539897+0.763285927513854*I	0.28388346681014826+0.7128671958160773*I	0.3362744694414647+0.6613162736529415*I	-0.01762499763231267+0.9132161563650976*I	0.2579195939142336+0.7383137954581955*I	0.31005876818928224+0.6871416449456039*I	0.36237684135427767+0.6355520479785737*I
{22.36067977499789, 1.529216824224243}	{18.04217959671311, 1.5653813557976957}	{20.085701391913165, 1.5504303385693403}	{16.20656596692762, 1.5757522232120755}	{13.79729661461215, 1.58538273075576}	{11.746189430880191, 1.5897212148251916}	{10.000000000000002, 1.589235236484352}	{23.59304534015059, 1.5156812058699056}	{21.19268592889538, 1.540721606389077}	{19.036539387158783, 1.5585761820940471}	{17.099759466766976, 1.5710480714720745}	{14.557707899561448, 1.582823252478282}	{12.393557915292858, 1.5888134805727263}	{30.85169313600049, 1.410507117306179}	{24.893330346995416, 1.499889713971445}	{27.712837981675413, 1.4607415993225683}	{34.346066252302165, 1.3486026279814245}	{10.55113063536228, 1.5899310902037527}	{15.360027779971823, 1.5796400384685825}	{13.07660486011831, 1.5873712065215506}	{32.552024460005086, 1.3810184213353502}	{29.240177382128664, 1.4370649328569416}	{26.265278044037682, 1.4816359866301902}	{36.23898318388478, 1.3133212329992572}	{38.23622456658651, 1.2752964503236999}	{42.566996126039236, 1.1918187239637072}	{47.38828636281331, 1.1003776972029535}	{11.132635768448035, 1.5900938497727801}	{40.34354004051025, 1.2347131595046825}	{44.91299368807999, 1.1469201915323048}	{49.99999999999999, 1.052594591956879}
{22.36067977499789, 0.9439806767729446}	{18.04217959671311, 0.964433731701373}	{20.085701391913165, 0.9576106159279685}	{16.20656596692762, 0.9647208263706522}	{13.79729661461215, 0.9529900178314865}	{11.746189430880191, 0.9259255737626556}	{10.000000000000002, 0.8832064415106546}	{23.59304534015059, 0.9345722740557966}	{21.19268592889538, 0.951660970844714}	{19.036539387158783, 0.961855299539005}	{17.099759466766976, 0.9653817793855844}	{14.557707899561448, 0.9585529000680278}	{12.393557915292858, 0.9367053144712946}	{30.85169313600049, 0.8652688460938722}	{24.893330346995416, 0.9234839773409975}	{27.712837981675413, 0.8967373024976504}	{34.346066252302165, 0.8314033599113012}	{10.55113063536228, 0.8991234888421079}	{15.360027779971823, 0.9624511669660704}	{13.07660486011831, 0.9457185294929461}	{32.552024460005086, 0.8484690252766978}	{29.240177382128664, 0.8814629156390071}	{26.265278044037682, 0.9108182407093626}	{36.23898318388478, 0.8144216516640167}	{38.23622456658651, 0.797868176190546}	{42.566996126039236, 0.7673131444194254}	{47.38828636281331, 0.7419027783991315}	{11.132635768448035, 0.913386221041122}	{40.34354004051025, 0.7820676297410406}	{44.91299368807999, 0.7538568033450421}	{49.99999999999999, 0.7316032947162434}
